url,final_url,status_code,content_type,title,meta_description,meta_keywords,link_count,links,image_count,images,script_count,scripts
https://www.wikipedia.org,https://www.wikipedia.org/,200,text/html,Wikipedia,"Wikipedia is a free online encyclopedia, created and edited by volunteers around the world and hosted by the Wikimedia Foundation.",,50,"https://gl.wikipedia.org/, https://de.wikipedia.org/, https://commons.wikimedia.org/, https://br.wikipedia.org/, https://zgh.wikipedia.org/, https://gu.wikipedia.org/, https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Privacy_policy, https://tl.wikipedia.org/, https://nap.wikipedia.org/, https://pfl.wikipedia.org/, https://srn.wikipedia.org/, https://et.wikipedia.org/, https://gor.wikipedia.org/, https://shn.wikipedia.org/, https://ee.wikipedia.org/, https://kv.wikipedia.org/, https://dsb.wikipedia.org/, https://ur.wikipedia.org/, https://bdr.wikipedia.org/, https://sc.wikipedia.org/, https://zh-classical.wikipedia.org/, https://my.wikipedia.org/, https://ss.wikipedia.org/, https://mai.wikipedia.org/, https://iba.wikipedia.org/, https://ie.wikipedia.org/, https://dtp.wikipedia.org/, https://olo.wikipedia.org/, https://alt.wikipedia.org/, https://fi.wikipedia.org/, https://nah.wikipedia.org/, https://www.wiktionary.org/, https://avk.wikipedia.org/, https://am.wikipedia.org/, https://pag.wikipedia.org/, https://foundation.wikimedia.org/wiki/Special:MyLanguage/Policy:Terms_of_Use, https://kab.wikipedia.org/, https://nr.wikipedia.org/, https://gcr.wikipedia.org/, https://myv.wikipedia.org/, https://anp.wikipedia.org/, https://knc.wikipedia.org/, https://ik.wikipedia.org/, https://ug.wikipedia.org/, https://zh-yue.wikipedia.org/, https://lij.wikipedia.org/, https://sq.wikipedia.org/, https://meta.wikimedia.org/wiki/Special:MyLanguage/List_of_Wikipedias, https://rn.wikipedia.org/, https://cbk-zam.wikipedia.org/",1,https://www.wikipedia.org/portal/wikipedia.org/assets/img/Wikipedia-logo-v2.png,2,"https://www.wikipedia.org/portal/wikipedia.org/assets/js/index-6bf78c58fd.js, https://www.wikipedia.org/portal/wikipedia.org/assets/js/gt-ie9-ce3fe8e88d.js"
https://www.bbc.com,https://www.bbc.com/,200,text/html; charset=utf-8,"BBC Home - Breaking News, World News, US News, Sports, Business, Innovation, Climate, Culture, Travel, Video & Audio","Visit BBC for trusted reporting on the latest world and US news, sports, business, climate, innovation, culture and much more.",,50,"https://www.bbc.com/travel/article/20250509-the-flawless-biscuit-that-took-years-to-master, https://www.bbc.com/sport, https://cloud.email.bbc.com/bbcnewsignup2?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=newsbriefing&at_campaign_type=owned, https://www.bbc.com/news/scotland/scotland_politics, https://www.bbc.co.uk/contact, https://www.bbc.com/weather, https://www.bbc.com/audio/play/w3ct7x8b, https://www.bbc.com/future-planet/sustainable-business, https://www.bbc.com/audio/play/w3ct701r, https://www.bbc.com/reel/video/p0l7gtft/just-how-dangerous-is-space-debris-, https://www.bbc.com/innovation/science, https://www.bbc.com/news/articles/c7vnyn17p57o, https://www.bbc.com/news/articles/ckg7nx49zldo, https://www.bbc.com/innovation/ai-v-the-mind, https://www.bbc.com/audio/play/w3ct6svv, https://www.bbc.com/future/article/20250509-why-autism-diagnoses-are-on-the-rise, https://www.britbox.com/?utm_source=bbc.com&utm_medium=referral&utm_campaign=footer, https://www.bbc.com/news/world/africa, https://www.bbc.com/news/articles/crmk2y7lrpeo, https://www.bbc.com/live, https://bbc-global.onelink.me/Ezi6/n4y4nlv7, https://www.bbc.com/news/videos/cwyjg5746nro, https://www.bbc.com/news/articles/c331ndp780xo, https://www.bbc.com/news/world/asia/china, https://www.bbc.com/news/world/australia, https://www.bbc.com/reel/video/p0l7yjfy/the-secret-ww2-magazine-ridiculing-hitler-s-mother, https://www.bbc.com/travel/article/20240514-the-south-american-country-supplying-mothers-day-flowers, https://www.bbc.com/news/world/europe, https://www.bbc.com/news/articles/c4g2j45d5zeo, https://www.bbc.com/travel/destinations/caribbean, https://www.bbc.com/reel/video/p0l7zj49/watch-langurs-daring-crossings-over-busy-roadway, https://www.bbc.com/reel/video/p0l8lcnr/pope-joan-the-woman-who-fooled-the-church, https://cloud.email.bbc.com/RoyalWatch_Newsletter_SignUp?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=royalwatch&at_campaign_type=owned, https://www.bbc.com/travel/destinations/asia, https://www.bbc.com/travel/adventures, https://www.bbc.com/audio/play/w3ct74j4, https://www.bbc.com/business/future-of-business, https://www.bbc.com/travel/article/20250502-how-dubai-chocolate-conquered-the-world, https://www.bbc.com/future-planet/weather-science, https://www.bbc.com/, https://www.bbc.com/audio/play/p0l9j1l4, https://www.bbc.com/usingthebbc/cookies/, https://www.bbc.com/business, https://www.bbc.com/news, https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links, https://www.bbc.com/home, https://www.bbc.com/audio/play/p0l9g6f0, https://www.bbc.com/future-planet/solutions, https://www.bbc.com/news/articles/cvgpge1lmkyo, https://www.bbc.com/news/articles/c5yk5nj7p7ko",30,"https://ichef.bbci.co.uk/images/ic/480x270/p0l7vv9s.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0l8lhbm.jpg.webp, https://ichef.bbci.co.uk/images/ic/1920x1080/p0h74xqs.jpg.webp, https://ichef.bbci.co.uk/news/480/cpsprodpb/b3bd/live/48dc60b0-2e7c-11f0-b26b-ab62c890638b.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0l8tht7.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0kxnkh5.jpg.webp, https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/00cd/live/b1ab12d0-2e77-11f0-8ff1-59f5dcf8e9f5.png.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0l7ym7b.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0l9bmv8.jpg.webp, https://ichef.bbci.co.uk/images/ic/raw/p0k48s7x.jpg.webp, https://ichef.bbci.co.uk/images/ic/raw/p0k21mq7.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0h5bdr7.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0l6g7xp.jpg.webp, https://ichef.bbci.co.uk/news/480/cpsprodpb/d473/live/4069c040-2773-11f0-8f57-b7237f6a66e6.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0l6bmk0.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p07kl75x.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0l602pf.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0gstygv.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0dv471q.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0l947qz.jpg.webp, https://ichef.bbci.co.uk/images/ic/1920x1080/p0l88xj4.jpg.webp, https://ichef.bbci.co.uk/news/480/cpsprodpb/8843/live/97599680-2e69-11f0-8f57-b7237f6a66e6.jpg.webp, https://ichef.bbci.co.uk/images/ic/1024xn/p0l99hfj.jpg.webp, https://ichef.bbci.co.uk/news/480/cpsprodpb/aa6b/live/2fc50120-2e65-11f0-8983-9f3e4f3d22d6.png.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0f8rl11.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0l945w3.jpg.webp, https://ichef.bbci.co.uk/news/800/cpsprodpb/633B/production/_133530452_newsletter_football.jpg.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0l9730y.jpg.webp, https://ichef.bbci.co.uk/ace/standard/480/cpsprodpb/1425/live/ae9e79a0-2e78-11f0-8ff1-59f5dcf8e9f5.png.webp, https://ichef.bbci.co.uk/images/ic/480x270/p0l7w0kc.jpg.webp",19,"https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/chunks/425-5e67984ff0e16f46.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/1Dxkla49CXtdXaNT0ytzo/_buildManifest.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/chunks/framework-fcaee23bd118befe.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/chunks/pages/_app-3d511d1eef55eff6.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/chunks/pages/%5B%5B...slug%5D%5D-63a08ccfebab8778.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/chunks/webpack-7f6a1e746c9ad22a.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/chunks/545-cbe09b3cb9d59f65.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/chunks/63-e1d6b0f60a1601fb.js, https://emp.bbci.co.uk/emp/bump-4/bump-4.js, https://gn-web-assets.api.bbc.com/ngas/latest/dotcom-bootstrap.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/chunks/759-7b269e4c54799509.js, https://static.bbci.co.uk/frameworks/requirejs/0.13.0/sharedmodules/require.js, https://cdn.tinypass.com/api/tinypass.min.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/chunks/885-d72a55d86f1c6cf5.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/chunks/main-1ff96ce8d08d136b.js, https://cdn.optimizely.com/public/4621041136/s/bbcx_prod.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/1Dxkla49CXtdXaNT0ytzo/_ssgManifest.js, https://static.files.bbci.co.uk/bbcdotcom/web/20250428-123652-7bc49a8f4-web-2.20.1-1/_next/static/chunks/672-453ccf53310a1146.js"
https://edition.cnn.com,https://edition.cnn.com/,200,text/html; charset=utf-8,"Breaking News, Latest News and Videos | CNN","View the latest news and breaking news today for U.S., world, weather, entertainment, politics and health at CNN.com.","cnn news, daily news, breaking news, news today, current events",50,"https://edition.cnn.com/games/play/gd-sudoku-a197ee3904d04e9d8b64dcd9fa3ace63, https://edition.cnn.com/2025/05/10/world/video/pope-leo-explains-name-choice-vrtc, https://edition.cnn.com/travel/bhutan-american-woman-mindfulness-wellness-love, https://edition.cnn.com/world/photos, https://edition.cnn.com/sport/esports, https://edition.cnn.com/2025/05/08/world/gallery/photos-this-week-may-1-may-8, https://edition.cnn.com/follow?iid=fw_var-nav, https://edition.cnn.com/world/middleeast/israel, https://edition.cnn.com/business/work-transformed, https://edition.cnn.com/terms, https://edition.cnn.com/health/life-but-better/sleep, https://edition.cnn.com/2025/05/08/science/underwater-volcano-erupt-oregon-coast, https://edition.cnn.com/polling, https://edition.cnn.com/2025/05/09/politics/american-pope-prevost-leo-catholics-trump-vance, https://edition.cnn.com/2025/05/11/entertainment/cannes-film-festival-2025-preview, https://edition.cnn.com/world, https://www.cnn.com/election/2025, https://edition.cnn.com/2025/05/09/health/cacio-e-pepe-recipe-pasta-test-wellness, https://edition.cnn.com/games/play/jumble-crossword-daily, https://edition.cnn.com/audio/podcasts/one-thing, https://edition.cnn.com/2025/05/08/travel/video/dominique-crenn-grief-mothers-memory-menu-spc, https://edition.cnn.com/2025/05/10/politics/habeas-corpus-explained, https://edition.cnn.com/2025/05/09/world/gallery/pope-leo, https://edition.cnn.com/2025/05/09/business/founder-crypto-celsius-network-prison-sentence-intl, https://edition.cnn.com/accessibility, https://edition.cnn.com/2025/05/11/politics/pregnant-mothers-supreme-courts-birthright-citizenship, https://edition.cnn.com/2025/01/13/world/gallery/people-we-lost-2025, https://edition.cnn.com/tv/schedule/cnn, https://edition.cnn.com/world/australia, https://edition.cnn.com/sport/us-sports, https://edition.cnn.com/style/arts, https://edition.cnn.com/2025/05/10/politics/vance-modi-india-pakistan-intelligence, https://edition.cnn.com/business/markets/nightcap, https://edition.cnn.com/2025/05/06/style/video/symbolic-looks-met-gala-2025-ldn-digvid, https://edition.cnn.com/markets/after-hours, https://edition.cnn.com/style/design, https://edition.cnn.com/privacy, https://edition.cnn.com/business/videos, https://edition.cnn.com/2025/05/07/business/ford-sticker-prices-tariffs-mexico, https://edition.cnn.com/2025/05/10/politics/ukrainians-us-concerns-trump, https://edition.cnn.com/2025/05/10/travel/travel-news-air-new-zealand-cabins, https://edition.cnn.com/about, https://edition.cnn.com/world/freedom-project, https://edition.cnn.com/2025/05/08/tech/google-ai-preventing-scams-search-chrome, https://us.cnn.com?hpt=header_edition-picker, https://edition.cnn.com/politics, https://edition.cnn.com/2025/05/11/europe/pope-leo-vatican-balcony-prayer-intl, https://edition.cnn.com/2025/05/11/travel/sopa-de-ajo-garlic-spain-cec, https://edition.cnn.com/world/europe/ukraine, https://edition.cnn.com/2025/05/10/americas/ecuador-fishermen-55-days-adrift-galapagos-latam-intl",30,"https://media.cnn.com/api/v1/images/stellar/prod/cnn-headlines-international-logo.png?c=16x9&q=w_1280,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/c-gettyimages-2153668723.jpg?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/cgettyimages-2212096677.jpg?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2196938705-20250509122017012.jpg?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/187836.jpg?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/pia00271-large.jpg?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/heatherwick-studio-media-image-2-20250509070522727.jpg?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/bt01-gettyimages-2213446979.jpg?c=16x9&q=h_270,w_480,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/ap25130759547318.jpg?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-178487374.jpg?c=16x9&q=h_144,w_256,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/220428105846-01-white-house-correspondents-dinner-history.jpg?c=16x9&q=h_270,w_480,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/c-gettyimages-2396907.jpg?c=16x9&q=h_270,w_480,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/20250511-alcatraz.jpg?c=16x9&q=h_720,w_1280,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/edited-meny-moms-birthright-citizenship-case.jpg?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-1973655371-20240603172708256.jpg?c=16x9&q=h_144,w_256,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/global-a380-9h-globl-20250503-ber-2.jpg?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/business-premier-cabin.jpg?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2206681863.jpg?c=16x9&q=h_144,w_256,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/112080-goodbadpopes-v2-00-03-03-13-still007.jpg?c=16x9&q=h_144,w_256,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2213738592.jpg?c=16x9&q=h_144,w_256,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/01-image-4.jpg?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/2024-02-04t024111z-194817731-rc2av5ajxgmn-rtrmadp-3-panama-election.jpg?c=16x9&q=h_144,w_256,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/c-gettyimages-2213279817.jpg?c=16x9&q=h_144,w_256,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2094551109-copy.jpg?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/01-saiga-male-during-rutting-season-credit-albert-salemgareyev-acbk.jpg?c=16x9&q=h_270,w_480,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2213753840.jpg?c=16x9&q=h_720,w_1280,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/dominique-serious-01.jpg?c=16x9&q=h_144,w_256,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/01-2025-05-08t181008z-1727703098-rc2tdeazsa6n-rtrmadp-3-pope-succession-leo.JPG?c=16x9&q=h_438,w_780,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/04-gettyimages-488289439.jpg?c=16x9&q=h_270,w_480,c_fill, https://media.cnn.com/api/v1/images/stellar/prod/coy-coffee-thumb-2.png?c=16x9&q=h_144,w_256,c_fill",2,"https://cdn.optimizely.com/public/125375509/s/landingprod.js, https://static.chartbeat.com/js/chartbeat_mab.js"
https://www.python.org,https://www.python.org/,200,text/html; charset=utf-8,Welcome to Python.org,The official home of the Python Programming Language,Python programming language object oriented web free open source software license documentation download community,50,"https://www.python.org/success-stories/category/scientific/, https://www.python.org/events/python-events/1983/, https://www.python.org/events/python-events/1507/, https://www.python.org/about/quotes/, https://status.python.org/, https://www.python.org#python-network, http://www.web2py.com/, https://www.python.org/psf/donations/, https://www.python.org/downloads/macos/, https://www.python.org/success-stories/category/engineering/, https://wiki.python.org/moin/, https://wiki.python.org/moin/PythonEventsCalendar#Submitting_an_Event, https://www.python.org/community/irc/, http://roundup.sourceforge.net/, https://www.python.org/about/help/, https://pypi.org/, https://docs.python.org/3/license.html, https://www.python.org/psf/annual-report/2021/, https://peps.python.org, https://policies.python.org/python.org/Privacy-Notice/, https://www.python.org/success-stories/category/business/, http://www.pylonsproject.org/, https://saltproject.io, https://docs.python.org/faq/, https://www.python.org/community/lists/, https://www.python.org/success-stories/category/education/, https://www.python.org/, https://kivy.org/, https://www.python.org/doc/, https://www.python.org/success-stories/category/arts/, https://www.python.org/psf/newsletter/, http://brochure.getpython.info/, https://docs.python.org/3/tutorial/controlflow.html, https://www.openstack.org, https://www.python.org/psf/get-involved/, https://dearpygui.readthedocs.io/en/latest/, https://www.python.org#top, http://bottlepy.org, http://www.wxpython.org/, https://www.python.org/community/forums/, http://wiki.python.org/moin/Languages, https://www.python.org/success-stories/category/government/, https://www.python.org/events/python-user-group/, https://docs.python.org/3/tutorial/controlflow.html#defining-functions, https://www.linkedin.com/company/python-software-foundation/, http://planetpython.org/, https://www.python.org/downloads/source/, https://www.python.org/download/other/, http://pycon.blogspot.com/, https://www.python.org/about/legal/",1,https://www.python.org/static/img/python-logo.png,8,"https://www.python.org/static/js/libs/masonry.pkgd.min.js, https://www.python.org/static/js/libs/html-includes.js, https://media.ethicalads.io/media/client/v1.4.0/ethicalads.min.js, https://www.python.org/static/js/libs/modernizr.js, https://ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js, https://www.python.org/static/js/main-min.ef82c06437cf.js, https://analytics.python.org/js/script.outbound-links.js, https://ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js"
